street,R2,RMSE,MAE
JJ BYRNE MEMORIAL BRIDGE,0.1860644904558243,427.29685205216447,345.0848331057811
JUNCTION BOULEVARD,0.3095814629777558,134.77909854524617,110.284637285717
KINGS HIGHWAY,0.13993385542840042,178.0065361024559,131.46135549412102
KISSENA BOULEVARD,0.32312715452435625,166.9054902080073,134.5218384898914
LAFAYETTE AVENUE,0.40891296601656413,137.57475645806085,107.21881499449842
LAFAYETTE STREET,0.3209549449393546,163.880500695057,130.49592356544838
LEXINGTON AVENUE,0.2246540582367227,281.6324601027493,227.90054158806927
LIBERTY AVENUE,0.26285786522640653,198.78479894899655,150.31172395992664
LINDEN BOULEVARD,0.1569280650908622,255.99134346210008,186.74061764560852
LONG ISLAND EXPRESSWAY,0.32976248846250555,1432.5261451406507,1152.3827300022676
LONGWOOD AVENUE,0.18665786975065513,109.62431123445913,88.10714384036113
MADISON AVENUE,0.2959176711017486,327.57776020328686,261.8246464037372
MADISON AVENUE BRIDGE,0.21055152855031922,343.13524131446616,276.7796541736352
MADISON STREET,0.1151651492004645,95.72888338155697,77.41774586086291
MAIN STREET,0.17824885004231206,268.5030888385067,201.92815014565895
MAJOR DEEGAN EXPRESSWAY,0.24479588272620034,967.2952724644412,746.2303864339232
MANHATTAN AVENUE,0.2856187965933973,47.6137006198343,40.0479945561768
MANHATTAN BRIDGE,-0.08733906514730227,350.03252444758544,284.19756146536275
MANOR ROAD,0.17944692517005278,138.60904917535888,114.39224627874248
MARATHON PARKWAY,0.08061417838582907,81.83243848422025,66.33931508707326
MARTLING AVENUE,0.12606855131912087,280.6204602913989,221.44929645230053
MERRICK BOULEVARD,0.28434890547473635,253.56309471040043,206.92493081912804
METROPOLITAN AVENUE,0.17164904512301193,182.86934447876308,147.73191072151295
MYRTLE AVENUE,0.2462301011620226,99.25645548845746,77.93017154733614
NEPTUNE AVENUE,0.20001567774751072,205.8561057739026,165.26460383305553
NEW YORK AVENUE,0.3119048757368408,90.93793132390128,67.45576829609196
NORTH CHANNEL BRIDGE,0.23352695684249392,276.56118574414825,224.32673343437838
NORTH CONDUIT AVENUE,0.21655123689801425,433.76904208149114,349.76575448534123
NORTHERN BOULEVARD,0.2141430619590291,380.43510484293597,302.6487837291729
OCEAN AVENUE,0.2080152948804228,236.3937915894369,184.8683293139263
OCEAN PARKWAY,0.2601770954317242,407.2467386042149,319.45188345266155
OCEAN TERRACE,0.14880260988155203,113.04580846675869,86.20953530157662
PARK AVENUE,0.19213409885249166,318.17504154101084,241.19462595233827
PARSONS BOULEVARD,0.2942121602854756,123.30498722464768,100.8863792322303
PELHAM BRIDGE,0.3209203687180625,273.4230290133976,218.16568949421784
PELHAM PARKWAY,0.2527291701217076,339.66741081988505,277.82246747738265
PELHAM PARKWAY SOUTH,0.3257497351215385,116.89520309667247,100.71007982515295
PENNSYLVANIA AVENUE,0.24821491926833295,238.319505577918,188.44498473094464
PROSPECT AVENUE,0.15707966658359152,150.94218148870846,92.51129430180279
PULASKI BRIDGE,0.22959924641254625,343.61986026190283,282.66525785417383
QUEENS BLVD,0.09892952389812093,345.54470084003805,266.2088953449598
QUEENS BOULEVARD,0.19127651001176327,359.1599278726042,260.2756703100447
RALPH AVENUE,0.15757380098581864,214.06516491348074,183.00824967222766
RANDALL AVENUE,0.41564916891827763,549.640167435694,424.1326464335916
REMSEN AVENUE,0.3181469793176146,109.67338272442619,89.27155776785207
RICHMOND AVENUE,0.14847577719730065,641.4651565074327,534.5567330676131
RICHMOND ROAD,0.17770275998332008,277.75591894193013,217.76218873261212
RIKERS ISLAND BRIDGE,0.14723217603526817,183.49970503604968,133.70982478526605
RIVER AVENUE,0.18889074152607044,87.13512987672568,67.79252612360993
ROCKAWAY BEACH BOULEVARD,0.1835676502571827,131.94487556557706,103.64930474474656
ROCKAWAY BOULEVARD,0.2491773497271227,641.2418282818713,485.5593886789113
ROCKLAND AVENUE,0.171565559743312,203.08353512772916,164.89752388759078
ROOSEVELT AVENUE,0.138848607412682,144.11032246059477,114.99103783465158
ROOSEVELT AVENUE BRIDGE,0.13628335914428236,174.65902241144707,145.2627673380119
SEAGIRT BOULEVARD,0.19837571964785727,280.2136965348404,224.120696045531
SEDGWICK AVENUE,0.2228036441133059,130.58871282089711,99.37206908689755
SMITH STREET,0.16526111595137205,127.24708198407583,99.52034127952318
SOUTH CONDUIT AVENUE,0.37483014303911955,590.3044116892812,460.4938127011074
SOUTHERN BLVD,0.23781153966306612,76.60214748481201,62.61146195032102
SOUTHERN BOULEVARD,0.2322716498943076,297.80844209225717,211.71245211897633
STATE STREET,0.2119781119688896,138.13883531710292,111.82985287917639
STEINWAY STREET,0.35059117364957115,84.08523316733236,70.34303703775547
SUNRISE HIGHWAY,0.3775204907254607,573.7515615323448,475.33200774518536
SURF AVENUE,0.24248365448044806,135.537559815252,113.85704608588074
SUTTER AVENUE,0.2626705537285142,108.77034176299075,87.61249188927505
TODT HILL ROAD,0.27107871063762556,165.58104374155968,142.9370630812771
TOMPKINS AVENUE,0.41840926440749404,217.05858754543598,171.00640657086956
UNION TURNPIKE,0.14132479474973636,290.56339403030114,222.09848256858578
UTOPIA PARKWAY,0.19124481355842693,157.02067023979885,121.07248353696454
VAN CORTLANDT PARK EAST,0.2631346071002765,74.23864299765108,60.33248751967248
VERNON BOULEVARD,0.2501019131758646,114.4095329545529,96.29461345287572
VICTORY BOULEVARD,0.15230523943941976,309.7965249470223,222.1623473179959
