street,R2,RMSE,MAE
AVENUE J,0.4393383207114617,83.0812282888418,63.98499849227253
AVENUE M,0.19820284610462557,128.7990503832302,88.56292682938958
AVENUE OF THE AMERICAS,0.21914327652971688,450.1756976107152,389.21775241481726
BAY PARKWAY,0.23711241449454878,213.5104470753732,171.0702555178556
BEACH 20 STREET,0.13820868288365096,158.0123713319603,133.04510759321843
BEDFORD AVENUE,0.1538886473185046,231.31107711254955,162.7406845059292
BEDFORD PARK BOULEVARD,0.28235736857803195,83.427151067483,69.21376501307883
BELT PARKWAY,0.23410817608394507,1125.873376139712,967.7931665615702
BORDEN AVENUE BRIDGE,0.07905255231324826,207.6491926748099,176.14653685992377
BOSTON ROAD,0.0936228138084585,349.99471352216176,247.10555889068652
BROADWAY,0.1491669569980909,255.54789371924585,200.07850534226756
BROADWAY BRIDGE,0.08308401061692783,433.3903314107829,371.8576467876892
BRONXWOOD AVENUE,0.5689116635225675,59.2394102935105,42.87125646810139
BROOKLYN QUEENS EXPRESSWAY,0.16672893552676216,963.3068936417586,785.190870079792
BRUCKNER BOULEVARD,0.1330625965607427,398.12920861449714,323.13744539701304
BUSHWICK AVENUE,0.40409674813539953,309.48983374575715,240.1257966020316
CENTRAL AVENUE,0.17800270294658493,170.46880124040544,139.76153837957315
CENTRAL PARK SOUTH,0.2577527529765591,207.53923057376016,169.9374940853931
CENTRAL PARK WEST,0.2716395751240993,204.40447926089095,166.33287995531572
CHRYSTIE STREET,0.11090668235113321,194.60511851630145,163.55705827245322
CHURCH AVENUE,0.20494249688015065,99.3139776415187,80.44205988882399
COLUMBIA STREET,0.26061596954368416,114.76736540105688,92.37817603350699
COLUMBUS AVENUE,0.30702713900309353,309.0040904557399,260.3829152796179
COOPER AVENUE,0.33874406681779,152.33428684146705,117.20372750733377
CORTELYOU ROAD,0.2522230936050127,82.54477804601251,66.25699498011618
CRESCENT STREET,0.1638488615447281,155.23158529549602,126.00124406601643
CROPSEY AVENUE,0.17163356109262207,294.6311722591902,243.21000059452862
CROPSEY AVENUE BRIDGE,0.21422389696674926,315.2210862037328,273.1122498061845
CROSS BAY BOULEVARD,0.1557653083085767,282.5183280539534,214.29519488510465
DEKALB AVENUE,0.32796153896305646,53.51998761934145,44.15247848368507
DYCKMAN STREET,0.2871073623805802,90.27419716846363,75.17853876641614
EAST 138 STREET,0.1629224968387616,238.61589108053332,183.59567498596368
EAST 149 STREET,0.2247084845386299,177.48229802235673,147.23992117765835
EAST 161 STREET,0.304346846028247,128.96735429323277,97.70281977256384
EAST 163 STREET,0.34693290289969037,163.43823402897692,128.59475763905925
EAST 174 ST BRIDGE,0.19255098574294294,192.31180046096466,151.9495254520253
EAST FORDHAM ROAD,0.22628993327474656,568.364056203038,436.4486583381394
EAST GUN HILL ROAD,0.5394586524071197,246.31863176009563,189.89629488704358
EAST TREMONT AVENUE,0.08986824870851873,218.0223949523429,182.35400461906607
EMMONS AVENUE,0.2832079936887282,290.3493186161254,230.3422987834886
F D R DRIVE,0.2517709493430923,1021.4368270396238,832.433303975054
FLATBUSH AVENUE,0.4112877079133411,241.81414438376976,199.55763991785363
FLATLANDS AVENUE,0.32935593971444665,245.48616207650207,209.02376306335728
FLUSHING AVENUE,0.18708164064057342,190.37891564024733,146.93259081656043
FREDERICK DOUGLASS BOULEVARD,0.20796649503959908,115.4876044654456,90.62925986945109
FRESH KILLS BRIDGE,0.11033763256447571,749.9843016636247,646.380394049822
FT HAMILTON PARKWAY,0.2682050732303418,178.9388862067319,145.75309752185876
FULTON STREET,0.1666472780712922,114.86253707098612,92.31173483270341
GRAND CONCOURSE,0.14243942946356647,204.80323601744215,155.98642643010118
GRAND STREET BRIDGE,0.1607227526715176,151.87828958439312,119.40587867438079
HAMILTON AVENUE BRIDGE,-0.018790974633850377,1658.4818031392608,1455.6817897345088
HICKS STREET,0.36108821314444917,245.91689975177297,185.61494283069214
HILLSIDE AVENUE,0.13762585861560117,391.24864168820886,289.84314420995173
HOLLIS COURT BOULEVARD,0.06643976205606728,146.33965506939722,125.29281120534257
HOOK CREEK BRIDGE,0.23517611838066876,608.6363981004971,538.7621803061259
HUGUENOT AVENUE,0.18816750590445186,130.40055312670282,108.88855848760517
HUNTS POINT AVENUE,0.15987917208012725,184.30340990934408,154.29115217444192
HYLAN BOULEVARD,0.1450737544170807,379.76138912646024,303.2819397398665
JACKIE ROBINSON PARKWAY,0.23930603678225137,737.9816265759083,607.7877705110906
JACKSON AVENUE,0.5806052309775411,107.21368808654736,70.27935337156683
JAMAICA AVENUE,0.22446943782183582,186.55031719997288,141.64223828646792
JEROME AVENUE,0.16540631043930087,151.3156618699287,114.70697371794745
JJ BYRNE MEMORIAL BRIDGE,0.11636630751975563,445.2160670652853,362.9036024184172
