street,RMSE,MAE,R2
EAST 161 STREET,0.82490826,0.62696713,-0.15837562084197998
EAST 163 STREET,0.63914996,0.50081223,0.1577514410018921
EAST 174 ST BRIDGE,0.79345864,0.54540944,0.24559539556503296
EAST FORDHAM ROAD,1.2853848,1.2336344,-105.80197143554688
EAST GUN HILL ROAD,1.4510547,1.2108256,-0.9820781946182251
EAST TREMONT AVENUE,0.7471108,0.57337207,0.43676573038101196
EMMONS AVENUE,0.865497,0.6455429,0.4277874827384949
F D R DRIVE,1.5316606,1.2583215,-1.4754652976989746
FLATBUSH AVENUE,1.008593,0.8123294,-0.905465841293335
FLATLANDS AVENUE,0.4622142,0.3169008,0.7946527004241943
FLUSHING AVENUE,0.63362926,0.45668727,0.4937593936920166
FREDERICK DOUGLASS BOULEVARD,1.5576973,1.3472255,-5.823903560638428
FRESH KILLS BRIDGE,0.65472215,0.4860498,0.5140730142593384
FT HAMILTON PARKWAY,0.67153305,0.5376141,0.09913516044616699
FULTON STREET,1.5272921,1.2555689,-2.206043004989624
GRAND CONCOURSE,1.1316094,0.82209665,-0.3105357885360718
GRAND STREET BRIDGE,0.8436797,0.57515776,0.2762948274612427
HAMILTON AVENUE BRIDGE,0.91652447,0.7217121,0.18151342868804932
HICKS STREET,0.7634779,0.61673504,0.33204329013824463
HILLSIDE AVENUE,0.8554182,0.65884966,0.05346214771270752
HOLLIS COURT BOULEVARD,0.46925178,0.3515347,0.675642728805542
HOOK CREEK BRIDGE,0.8515271,0.6357741,0.06681996583938599
HUGUENOT AVENUE,0.3822938,0.29852664,0.8286457657814026
